objectid,filename,title,creator,date,date is approx?,description,series number,box number ,folder number,subject,location,latitude,longitude,type,format,language,rights,rightsstatement,identifier,display_template,object_location,image_small,image_thumb,image_alt_text,object_transcript
dubois106,anton_reithingers_offices.pdf,Anton Reithinger's associations and offices he held,Holocaust Education and Resource Center,,,List of associations and offices held by Anton Reithinger from 1932 - 1945.,2,2-6,229,List; Associations; Offices Anton; Rethinger,,,,,application/pdf,,,,anton_reithingers_offices,image,/objects/anton_reithingers_offices.pdf,/objects/small/anton_reithingers_offices_sm.jpg,/objects/thumbs/anton_reithingers_offices_th.jpg,,
dubois107,ernst_struss_offices.pdf,Ernst Struss's associations and offices he held,Holocaust Education and Resource Center,,,List of associations and offices held by Ernst Struss from 1932 - 1945. Notes are typed with handwritten edits.,2,2-6,229,List; Associations; Offices Ernst; Struss,,,,,application/pdf,,,,ernst_struss_offices,image,/objects/ernst_struss_offices.pdf,/objects/small/ernst_struss_offices_sm.jpg,/objects/thumbs/ernst_struss_offices_th.jpg,,
dubois108,jost_terharrs_offices.pdf,Jost Terhaar's associations and offices he held,Holocaust Education and Resource Center,,,List of associations and offices held by Jost Terharr between 1932 - 1945. Document is typed with handwritten notes.,2,2-6,229,List; Associations; Offices; Jost; Terrhar,,,,,application/pdf,,,,jost_terharrs_offices,image,/objects/jost_terharrs_offices.pdf,/objects/small/jost_terharrs_offices_sm.jpg,/objects/thumbs/jost_terharrs_offices_th.jpg,,
dubois109,karl_pfeiffers_offices.pdf,Karl Pfeiffer's associations and offices he held,Holocaust Education and Resource Center,,,List of associations and offices held by Karl Pfeiffer from 1932 - 1945. Document is typed with handwritten edits.,2,2-6,229,List; Associations; Offices;  Karl; Pffeifer,,,,,application/pdf,,,,karl_pfeiffers_offices,image,/objects/karl_pfeiffers_offices.pdf,/objects/small/karl_pfeiffers_offices_sm.jpg,/objects/thumbs/karl_pfeiffers_offices_th.jpg,,
dubois110,ruth_formatting_letter.pdf,Letter to Ruth about Report Formating,Holocaust Education and Resource Center,,,Handwritten Letter to Ruth about formating the report in the rest of the folder. Note is stapled to the first page of the report.,2,2-6,230,Handwritten; Ruth; Formatting; Report,,,,,application/pdf,,,,ruth_formatting_letter,image,/objects/ruth_formatting_letter.pdf,/objects/small/ruth_formatting_letter_sm.jpg,/objects/thumbs/ruth_formatting_letter_th.jpg,,
dubois111,khreport_page_two.pdf,Page 2 of Krauch-Haefliger Report,Holocaust Education and Resource Center,,,Page 2 of the report on Krauch and Haefliger. The report is typed with handwritten edits.,2,2-6,230,Page; 2; Krauch; Haefliger; Typed; Handwritten,,,,,application/pdf,,,,khreport_page_two,image,/objects/khreport_page_two.pdf,/objects/small/khreport_page_two_sm.jpg,/objects/thumbs/khreport_page_two_th.jpg,,
dubois112,khreport_page_three.pdf,Page 3 of Krauch-Haefliger Report,Holocaust Education and Resource Center,,,Page 3 of the report on Krauch and Haefliger. This page is typed.,2,2-6,230,Page; 3; Krauch; Haefliger; Typed; Handwritten,,,,,application/pdf,,,,khreport_page_three,image,/objects/khreport_page_three.pdf,/objects/small/khreport_page_three_sm.jpg,/objects/thumbs/khreport_page_three_th.jpg,,
dubois113,khreport_page_four.pdf,Page 4 of Krauch-Haefliger Report,Holocaust Education and Resource Center,,,Page 4 of the report on Krauch and Haefliger. The page is typed with handwritten edits and scribbled out notes on the left margin. Handwritten note for Ruth on the bottom of the page.,2,2-6,230,Page; 4; Krauch; Haefliger; Typed; Handwritten,,,,,application/pdf,,,,khreport_page_four,image,/objects/khreport_page_four.pdf,/objects/small/khreport_page_four_sm.jpg,/objects/thumbs/khreport_page_four_th.jpg,,
dubois114,khreport_page_five.pdf,Page 5 of Krauch-Haefliger Report,Holocaust Education and Resource Center,,,"Page 5 of the report on Krauch and Haefliger. The page is typed with hand written notes. Notes on the left margin as well as scribbled out sentences in the middle of the report. Stapled to more notes on the back, as well as a formating diagram.",2,2-6,230,Page; 5; Krauch; Haefliger; Typed; Handwritten,,,,,application/pdf,,,,khreport_page_five,image,/objects/khreport_page_five.pdf,/objects/small/khreport_page_five_sm.jpg,/objects/thumbs/khreport_page_five_th.jpg,,
dubois115,khreport_page_six.pdf,Page 6 of Krauch-Haefliger Report,Holocaust Education and Resource Center,,,Page 6 of the report on Krauch and Haefliger. The page is typed with handwritten notes and edits.,2,2-6,230,Page; 6; Krauch; Haefliger; Typed; Handwritten,,,,,application/pdf,,,,khreport_page_six,image,/objects/khreport_page_six.pdf,/objects/small/khreport_page_six_sm.jpg,/objects/thumbs/khreport_page_six_th.jpg,,
dubois116,khreport_page_seven.pdf,Page 7 of Krauch-Haefliger Report,Holocaust Education and Resource Center,,,Page 7 of the report on Krauch and Haefliger. The page is typed with handwritten notes and scribbled out sentences.,2,2-6,230,Page; 7; Krauch; Haefliger; Typed; Handwritten,,,,,application/pdf,,,,khreport_page_seven,image,/objects/khreport_page_seven.pdf,/objects/small/khreport_page_seven_sm.jpg,/objects/thumbs/khreport_page_seven_th.jpg,,
dubois117,khreport_page_eight.pdf,Page 8 of Krauch-Haefliger Report,Holocaust Education and Resource Center,,,Page 8 of the report on Krauch and Haefliger. This page is typed with handwritten notes and scribbled out sentences.,2,2-6,230,Page; 8; Krauch; Haefliger; Typed; Handwritten,,,,,application/pdf,,,,khreport_page_eight,image,/objects/khreport_page_eight.pdf,/objects/small/khreport_page_eight_sm.jpg,/objects/thumbs/khreport_page_eight_th.jpg,,
dubois118,khreport_page_nine.pdf,Page 9 of Krauch-Haefliger Report,Holocaust Education and Resource Center,,,Page 9 of the report on Krauch and Haefliger. This page is typed with handwritten notes and edits.,2,2-6,230,Page; 9; Krauch; Haefliger; Report; Typed; Handwritten,,,,,application/pdf,,,,khreport_page_nine,image,/objects/khreport_page_nine.pdf,/objects/small/khreport_page_nine_sm.jpg,/objects/thumbs/khreport_page_nine_th.jpg,,
